Primary Source	Primary Source Concept ID	syndrome	RashSyn	HemorrhagicSyn	BotulicSyn	NeuroSyn	ConstitutionalSyn	SensitiveResp	SpecificResp	RespSyn	SensitiveGI	SpecificGI	GISyn	ILISyn	Concept	SubConcept	Relation to Concept	UMLS concept ID	Diagnosis	Syndrome	Physical Finding	Symptom	Sign	Related Disorder	Analog Disease	Bioterrorism Disease	Chest Radiograph	SNOMED	MESH	ICD-9	RadLex	CCC-Complaint	CCC-title	Keywords/RegExps
CCOntology			0	0	0	0	0							1	Chills	Rigors	Synonyms	C0424790:RIGORS (shaking chills)	0	0	1	0	1			0	0							rigors [\brigou?rs\b] [C0424790:RIGORS]:::rigours [\brigou?rs\b] [C0424790:RIGORS]
55 respiratory		Respiratory	0	0	0	0	0	1		1				1	Conjunctivitis	Conjunctivitis	ConceptName	C0009763:Conjunctivitis	0	0	1	0	1	0	0	0	0		Conjunctivitis [C11.187.183]					"conjunctivitis, pink eye"
SyndromeCC		Respiratory	0	0	0	0	0	1	1	1				1	Cough	Cough	ConceptName	C0010200	0	0	0	1	0	0	0	0	0		Cough [C08.618.248]					cough [\bcough\b] [C0010200:Cough]:::copugh [\bcopugh\b] [C0010200:Cough] :::couch [\bcouch\b] [C0010200:Cough]:::coug [\coug\b] [C0010200:Cough]:::cough+fever [\bcough\s*\+fever\b] [C0010200:Cough]:::coughed [\bcoughed\b] [C0010200:Cough]:::coughing [\bcoughing\b] [C0010200:Cough]:::couh [\bcouh\b] [C0010200:Cough]:::
SyndromeCC		Respiratory	0	0	0	0	0	1	1	1				1	Cough	ProductiveCough	RelatedConcept	C0239134:Productive cough NOS 	0	0	1	1	0	0	0	0	0							phlegm [\bphlegm\b] [C0239134:Productive cough NOS]:::sputum [\bsputum\b] [C0239134:Productive cough NOS]:::productive [\bproductive\b] [C0239134:Productive cough NOS]:::
SyndromeCC		Respiratory	0	0	0	0	0	1	1	1				1	Cough	Croup	RelatedConcept	C0010380:Croup 	1	0	0	0	0	1	0	0	0		Croup [C08.360.535.365]  					croup [\bcroupy?\b] [C0010380:Croup]:::croupy [\bcroupy?\b] [C0010380:Croup]:::barky cough [\bbark.*?\s+cough.*?\b] [C0010380:Croup]:::barking cough [\bbark.*?\s+cough.*?\b] [C0010380:Croup]:::bark* [\bbark.*?\b] [C0010380:Croup]:::
SyndromeCC		Respiratory	0	0	0	0	0	1	1	1				1	Cough	Pertussis	RelatedConcept	C0006017:Pertussis	1	0	0	0	0	0	1	0	0		Whooping Cough [C01.539.739.969]					pertusis [\bpertus+is\b] [C0043167:Pertussis]:::pertussis [\bpertus+is\b] [C0043167:Pertussis]:::post-tussive [\bpost\-?tus+ive\b] [C0043167:Pertussis]:::whooping [\bwhooping\b] [C0043167:Pertussis]:::
John Flu Term		ILI	0	0	0	0	0							1	Cough	PersistentNonProductiveCough	RelatedConcept	C0850149	0	0	1	1	0			0	0							persistent non-productive cough
SyndromeCC		Gastrointestinal	0	0	0	0	0				1	1	1	1	Diarrhea	Diarrhea	ConceptName	C0011991:DIARRHOEA	0	0	1	1	0	0	0	0	0		 Diarrhea [C23.888.821.214]					diar* [\bdiar.*?\b] [C0011991:DIARRHOEA (Diarrhea)]:::dair* [\bdair.*?\b] [C0011991:DIARRHOEA (Diarrhea)]:::diah* [\bdiah.*?\b] [C0011991:DIARRHOEA (Diarrhea)]:::dearrh* [\bdearrh.*?\b] [C0011991:DIARRHOEA (Diarrhea)]:::dirrhe* [\bdirrhe.*?\b] [C0011991:DIARRHOEA (Diarrhea)]:::diaar [\bdiaar\b] [C0011991:DIARRHOEA (Diarrhea)]:::d&v [\bd&v\b] [C0011991:DIARRHOEA (Diarrhea)]:::dearrhea [\bdearr.*?\b] [C0011991:DIARRHOEA (Diarrhea)]:::diaarrhea [\bdiaar.*?\b] [C0011991:DIARRHOEA (Diarrhea)]:::diahhea [\bdiahhea\b] [C0011991:DIARRHOEA (Diarrhea)]:::diahrea [\diahrea\b] [C0011991:DIARRHOEA (Diarrhea)]:::diahrrea [\bdiahrr.*?\b] [C0011991:DIARRHOEA (Diarrhea)]:::diar [\bdiar\b] [C0011991:DIARRHOEA (Diarrhea)]:::diareha [\bdiarh.*?\b] [C0011991:DIARRHOEA (Diarrhea)]:::diarehea [\bdiare.*?\b] [C0011991:DIARRHOEA (Diarrhea)]:::diarhea [\bdiarh.*?\b] [C0011991:DIARRHOEA (Diarrhea)]:::diarhha [\bdiarh.*?\b] [C0011991:DIARRHOEA (Diarrhea)]:::diarhhea [\bdiarh.*?\b] [C0011991:DIARRHOEA (Diarrhea)]:::diarr [\bdiarr.*?\b] [C0011991:DIARRHOEA (Diarrhea)]:::diarrea [\bdiarr.*?\b] [C0011991:DIARRHOEA (Diarrhea)]:::diarreah [\bdiarr.*?\b] [C0011991:DIARRHOEA (Diarrhea)]:::diarrh [\bdiarr.*?\b] [C0011991:DIARRHOEA (Diarrhea)]:::diarrha [\bdiarr.*?\b] [C0011991:DIARRHOEA (Diarrhea)]:::diarrhea [\bdiarr.*?\b] [C0011991:DIARRHOEA (Diarrhea)]:::diheria [\bdiher.*?\b] [C0011991:DIARRHOEA (Diarrhea)]:::dirrhea [\bdirrh.*?\b] [C0011991:DIARRHOEA (Diarrhea)]:::fdiarrhea [\bfdiarrh.*?\b] [C0011991:DIARRHOEA (Diarrhea)] :::n d [\bn\s*d\b] [C0011991:DIARRHOEA (Diarrhea)]:::nvd [\bnvd\b] [C0011991:DIARRHOEA (Diarrhea)]:::v d [\bv\s*d\b] [C0011991:DIARRHOEA (Diarrhea)]:::v&d [\bv&d\b] [C0011991:DIARRHOEA (Diarrhea)] :::v+d [\bv\+d\b] [C0011991:DIARRHOEA (Diarrhea)]:::dair [\bdair\b] [C0011991:DIARRHOEA (Diarrhea)]:::diah [\bdiah\b] [C0011991:DIARRHOEA (Diarrhea)]:::diahhea [\bdiahh.*?\b] [C0011991:DIARRHOEA (Diarrhea)]:::diarea [\bdiar.*?\b] [C0011991:DIARRHOEA (Diarrhea)]:::diareas [\bdiare.*?\b] [C0011991:DIARRHOEA (Diarrhea)]:::diareha [\bdiare.*?\b] [C0011991:DIARRHOEA (Diarrhea)]:::dv [\bdv\b] [C0011991:DIARRHOEA (Diarrhea)]:::enteri [\benteri\b] [C0011991:DIARRHOEA (Diarrhea)]:::enteritis [\benteri.*?\b] [C0011991:DIARRHOEA (Diarrhea)]:::n d [\bn\s*d\b] [C0011991:DIARRHOEA (Diarrhea)]:::n v d [\bn\s+v\s+d\b] [C0011991:DIARRHOEA (Diarrhea)]:::
SyndromeCC		Respiratory	0	0	0	0	0	1	1	1				1	Dyspnea	Dyspnea	ConceptName	C0013404:DYSPNOEA	0	0	1	0	1	0	0	0	0		Dyspnea [C08.618.326]					dyspne* [\bdyspne.*?\b] [C0013404:DYSPNOEA]:::yspnec [\byspnec\b] [C0013404:DYSPNOEA]:::dyspneic [\bdyspneic\b] [C0013404:DYSPNOEA]:::dyspnic [\bdyspnic\b] [C0013404:DYSPNOEA]:::
SyndromeCC		Constitutional	0	0	0	0	1							1	Fever	Fever	ConceptName	C0015967:Fever	0	0	1	0	1	0	0	0	0		Fever [C23.888.119.344]					fever [\bfever\b] [C0015967:Fever]:::debrile [\bdebrile\b] [C0015967:Fever]:::faver [\bfaver\b] [C0015967:Fever]:::febile [\bfebile\b] [C0015967:Fever]:::febrile [\bfebrile\b] [C0015967:Fever]:::fevber [\bfevber\b] [C0015967:Fever]:::feveer [\feveer\b] [C0015967:Fever]:::fever [\bfever\b] [C0015967:Fever]:::feverd [\bfeverd\b] [C0015967:Fever]:::fevers [\bfevers\b] [C0015967:Fever]:::fevr [\bfevr\b] [C0015967:Fever]:::fevrile [\fevrile\b] [C0015967:Fever]:::fuo [\bfuo\b] [C0015967:Fever]:::fv [\bfv\b] [C0015967:Fever]:::fver [\bfver\b] [C0015967:Fever]:::febile [\bfebile\b] [C0015967:Fever]:::febre [\bfebre\b] [C0015967:Fever]:::febril [\bfebril\b] [C0015967:Fever]:::fev [\bfev\b] [C0015967:Fever]:::fiebre [\bfiebre\b] [C0015967:Fever]:::feels hot [\bfeel.*?\s+hot\b] [C0015967:Fever]:::pyrexia [\bpyrexia\b] [C0015967:Fever]:::
BN		ILI	0	0	0	0	0							1	Fever	Chill	RelatedConcept	C0085593	0	0	1	1	0			0	0		Chills [C23.888.208]					"chill, fever, shaking chill"
CCOntology			0	0	0	0	1							1	Fever	ElevatedTemperature	Synonym	C0746669:Generalised muscle aches	0	0	1	0	1			0	0							temp [\btemp\b] [C0015967:High temperature]:::temperature [\btemperature\b] [C0015967:High temperature]:::increased temperature [\bincrease.*?\s+temp.*?\b] [C0015967:High temperature]:::hi temp [\bhi.*?\s+temp.*?\b] [C0015967:High temperature]:::high temp [\bhi.*?\s+temp.*?\b] [C0015967:High temperature]:::elevated temp [\belevat.*?\s+temp.*?\b] [C0015967:High temperature]:::temp > [\btemp\s+>\b] [C0015967:High temperature]:::temp gt [\btemp\s+gt\b] [C0015967:High temperature]:::
John Flu Term		ILI	0	0	0	0	0							1	GeneralizedWeakness	Asthenia	Synonym	C0004093	0	0	0	1	0			0	0		Asthenia [C23.888.089]					"asthenia, weakness"
		Neurologic	0	0	0	1	0							1	Headache	Headache	ConceptName	C0018681:Headache	0	0	0	0	0	0	0	0	0		Headache [C10.597.617.470]					"headache, cephalgia"
SyndromeCC		Respiratory	0	1	0	0	0	1	1	1				1	Hemoptysis	Hemoptysis	ConceptName	C0019079:HAEMOPTYSIS	0	0	1	1	0	0	0	0	0		Hemoptysis [C08.381.348]					bloddy cough [\bblo.*?dy\s+cough\b] [C0019079:HAEMOPTYSIS (Hemoptysis)]:::bringing up blood [\bbringing\s+up\s+blood\b] [C0019079:HAEMOPTYSIS (Hemoptysis)]:::hemoptisis [\bhemopt.sis\b] [C0019079:HAEMOPTYSIS (Hemoptysis)]:::hemoptosis [\bhemopt.sis\b] [C0019079:HAEMOPTYSIS (Hemoptysis)]:::hemoptysis [\bhemopysis\b] [C0019079:HAEMOPTYSIS (Hemoptysis)]:::hemopysis [\bhemopysis\b] [C0019079:HAEMOPTYSIS (Hemoptysis)]:::hemotypsis [\bhemotypsis\b] [C0019079:HAEMOPTYSIS (Hemoptysis)]:::blood + cough [\bblood\s*\+\s*cough\b] [C0019079:HAEMOPTYSIS (Hemoptysis)]:::blood + spit [\bblood\s*\+\s*spit\b] [C0019079:HAEMOPTYSIS (Hemoptysis)]:::coughing up blood [\bcough.*?\s+up\s+blood\b] [C0019079:HAEMOPTYSIS (Hemoptysis)]:::cough + blood [\bcough.*?\s*\+blood\b] [C0019079:HAEMOPTYSIS (Hemoptysis)]:::
SyndromeCC		Respiratory	0	0	0	0	0	1		1				1	Hoarseness	Hoarseness	ConceptName	C0019825:Hoarseness	0	0	1	1	0	0	0	0	0		Hoarseness [C08.618.490]					hoarse [\bhoars.*?\b] [C0019825:Hoarseness]:::hoarseness [\bhoars.*?\b] [C0019825:Hoarseness]:::hoarsness [\bhoars.*?\b] [C0019825:Hoarseness]:::lost voice [\blost\s+voice\b] [C0019825:Hoarseness]:::loss of voice [\bloss\s+of\s+voice\b] [C0019825:Hoarseness]:::no voice [\bno\s+voice\b] [C0019825:Hoarseness]:::
SyndromeCC		Respiratory	0	0	0	0	0	1	1	1				1	Hypoxia	Cyanosis	RelatedConcept	C0010520:Cyanosis	0	0	1	0	1	0	0	0	0		Cyanosis [C23.888.248]					cyancsis [\bcyancsis\b] [C0010520:Cyanosis]:::cyanotic [\bcyanotic\b] [C0010520:Cyanosis]:::cyanosis [\bcyanosis\b] [C0010520:Cyanosis]:::
SyndromeCC		Respiratory	0	0	0	0	0	1	1	1				1	Influenza	Influenza	ConceptName	C0021400:Influenza	1	0	0	0	0	1	0	0	0		"Influenza, Human [C08.730.310]"					flu [\bflue?\b] [C0021400:Influenza]:::flue [\bflue?\b] [C0021400:Influenza]:::flu-like [\bflu.*like\b] [C0021400:Influenza]:::fly symptoms [\bfly\s+sympt.*?\b] [C0021400:Influenza]:::influenza [\binflu.*?\b] [C0021400:Influenza]:::a flu [\ba\s+flu\b] [C0021400:Influenza]:::flu up [\bflu\s+up\b] [C0021400:Influenza]:::fly sym [\bfl[uy]\s+sym.*?\b] [C0021400:Influenza]:::+flu [\b\+flu\b] [C0021400:Influenza]:::flulike [\bflu.?like\b] [C0021400:Influenza]:::influenza [\binfluenza\b] [C0021400:Influenza]:::ILI [\bili\b] [C0021400:Influenza]:::
BN		ILI	0	0	0	0	0							1	Influenza	ILI	RelatedConcept	C0521839	0	1	0	1	1			0	0							"ili, influenza-like illness, flu"
BN		ILI	0	0	0	0	0							1	Influenza	LabConfirmedFlu	Synonym	LC0021400	1	0	0	0	1			0	0							"lab confirmed flu, lab condfirmed influenza, influenza, nasal swab"
BN		ILI	0	0	0	0	0							1	Influenza	LabOrderNasalSwab	RelatedConcept	C0420679	0	0	0	0	1			0	0							"lab order nasal swab, flu, laboratory confirmed influenza, influenza"
SyndromeCC		Constitutional	0	0	0	0	1							1	Lethargy	Fatigue	RelatedConcept	C0015672:Fatigue	0	0	0	1	0	0	0	0	0		Fatigue [C23.888.369]					fatigue [\bfatigu.*?\b] [C0015672:Fatigue]:::fatigued [\bfatigu.*?\b] [C0015672:Fatigue]:::fatique [\bfatiqu.*?\b] [C0015672:Fatigue]:::fitigue [\fitigu.*?\b] [C0015672:Fatigue]:::fatigue [\bfatig.*?\b] [C0015672:Fatigue]:::tired [\btired\b] [C0015672:Fatigue]:::
SyndromeCC		Constutional	0	0	0	0	1							1	Lethargy	Lethargy	ConceptName	C0023380:Lethargy	0	0	1	0	1	0	0	0	0		Lethargy [C10.597.606.441]					lathargic [\bl(a|e)tharg.*?\b] [C0023380:Lethargy]:::lethagic [\bl(a|e)thag.*?\b] [C0023380:Lethargy]:::lethargic [\bl(a|e)tharg.*?\b] [C0023380:Lethargy]:::lethargie [\bl(a|e)tharg.*?\b] [C0023380:Lethargy]:::lethargy [\bl(a|e)tharg.*?\b] [C0023380:Lethargy]:::lethary [\bl(a|e)tharg.*?\b] [C0023380:Lethargy]:::letargia [\bl(a|e)targ.*?\b] [C0023380:Lethargy]:::letargica [\bl(a|e)targ.*?\b] [C0023380:Lethargy]:::letargico [\bl(a|e)targ.*?\b] [C0023380:Lethargy]:::lethargic [\bl(a|e)tharg.*?\b] [C0023380:Lethargy]:::
SyndromeCC		Constutional	0	0	0	0	1							1	Lethargy	Somnolent	RelatedConcept	C0234450:Somnolent	0	0	1	0	1	0	0	0	0		Disorders of Excessive Somnolence [C10.886.425.800.200]					nodding off [\bnod.*?\s+off\b] [C0234450:Somnolent]:::sommolence [\bsommolence\b][C0234450:Somnolent]:::somnolence [\bsomnolence\b] [C0234450:Somnolent]:::somnolent [\bsomnolent\b] [C0234450:Somnolent]:::somnulent [\bsomnulent\b] [C0234450:Somnolent]:::sleepy [\bsleep.*?\b] [C0234450:Somnolent]:::stay awake [\bstay\s+awake\b] [C0234450:Somnolent]:::
SyndromeCC		Constutional	0	0	0	0	1							1	Malaise	Malaise	ConceptName	C0231218:Malaise	0	0	0	1	0	0	0	0	0							listless [\blistless\b] [C0231218:Malaise]:::malise [\bmalise\b] [C0231218:Malaise]:::malaise [\bmalaise\b] [C0231218:Malaise]:::feeling ill [\bfeel.*?\s+ill\b] [C0231218:Malaise]:::feels ill [\bfeel.*?\s+ill\b] [C0231218:Malaise]:::feels unwell [\bfeel.*?\s+unwel.*?\b] [C0231218:Malaise]:::not feeling any better [\bnot feeling any better\b] [C0231218:Malaise]:::not feeling well [\bnot feeling well\b] [C0231218:Malaise]:::doesn t feel too good [\bdoesn.?t feel too good\b] [C0231218:Malaise]:::dont feel good [\bdont feel good\b] [C0231218:Malaise]:::sick [\bsick\b] [C0231218:Malaise]:::doesn t feel too good [\bdoesn.?t feel too good\b] [C0231218:Malaise]:::dont feel good [\bdon.?t feel good\b] [C0231218:Malaise]:::feeling ill [\bfeel.*?\s+ill\b] [C0231218:Malaise]:::feeling sick [\bfeel.*?\s+sick\b] [C0231218:Malaise]:::feels ill [\bfeel.*?\s+ill\b] [C0231218:Malaise]:::feels sick [\bfeel.*?\s+sick\b] [C0231218:Malaise]:::feels unwell [\bfeel.*?\s+unwell\b] [C0231218:Malaise]:::not feeling any better [\bnot feeling any better\b] [C0231218:Malaise]:::not feeling well [\bnot feeling well\b] [C0231218:Malaise]:::sick [\bsick\b] [C0231218:Malaise]:::malise [\bmalise\b] [C0231218:Malaise]:::feeling ill [\bfeel.*?\s+ill\b] [C0231218:Malaise]:::feeling sick [\bfeel.*?\s+sick\b] [C0231218:Malaise]:::feels ill [\bfeel.*?\s+ill\b] [C0231218:Malaise]:::feels sick [\bfeel.*?\s+sick\b] [C0231218:Malaise]:::feels unwell [\bfeel.*?\s+unwell\b] [C0231218:Malaise]:::not feeling any better [\bnot feeling any better\b] [C0231218:Malaise]:::
SyndromeCC		Gastrointestinal	0	0	0	0	0				1		1	1	Nausea	Nausea	ConceptName	C0027497:Nausea	0	0	0	1	0	0	0	0	0		Nausea [C23.888.821.712]					nuasea [\bnuasea\b] [C0027497:Nausea]:::naseau [\bnaseau\b] [C0027497:Nausea]:::nauceous [\bnauceou.*?\b] [C0027497:Nausea]:::n/v [\bn\/v\b] [C0027497:Nausea]:::v/n [v\/n] [C0027497:Nausea]:::n+v [\bn\s*\+\s*v\b] [C0027497:Nausea]:::v+n [\bv\s*\+\s*n\b] [C0027497:Nausea]:::n and v [\bn\s*?and\s*v\b] [C0027497:Nausea]:::n v [\bn\s*v\b] [C0027497:Nausea]:::n & v [\bn\s*&\s*v] [C0027497:Nausea]:::n d [\bn\s*d\b] [C0027497:Nausea]:::n v [\bn\s*v\b] [C0027497:Nausea]:::n v d [\bn\s*?v\s*?d\b] [C0027497:Nausea]:::n&v [\bn&v\b] [C0027497:Nausea]:::n+v [\bn\s*?\+\s*?v\b] [C0027497:Nausea]:::nasea [\bnasea\b] [C0027497:Nausea]:::naseau [\bnaseau\b] [C0027497:Nausea]:::nasuea [\nasuea\b] [C0027497:Nausea]:::nause [\bnause\b] [C0027497:Nausea]:::nausea [\bnausea\b] [C0027497:Nausea]:::nauseated [\bnauseated\b] [C0027497:Nausea]:::nauseau [\bnauseau\b] [C0027497:Nausea]:::naussa [\bnaussa\b] [C0027497:Nausea]:::nv [\bnv\b] [C0027497:Nausea]:::nvd [\bnvd\b] [C0027497:Nausea]:::nasuea [\bnasuea\b] [C0027497:Nausea]:::nauceous [\bnauceous\b] [C0027497:Nausea]:::nauseau [\bnauseau\b] [C0027497:Nausea]:::naussa [\bnaussa\b] [C0027497:Nausea]:::nv [\bnv\b] [C0027497:Nausea]:::
BN		ILI	0	0	0	0	0							1	VisionProblem	PainOnEyeMovement	ConceptName	C0239430	0	0	0	1	0			0	0							pain on eye movement
SyndromeCC		Respiratory	0	0	0	0	0	1	1	1				1	Pneumonia	Pneumonia	ConceptName	C0032285:Pneumonia	1	0	0	0	0	0	1	0	0		Pneumonia [C08.381.677]					pneumon* [\bpneumon.*?\b] [C0032285:Pneumonia]:::pnuem* [\bpnuem.*?\b] [C0032285:Pneumonia]:::pnumon* [\bpnumon.*?\b] [C0032285:Pneumonia]:::PHEUMONIA [\bpheumonia\b] [C0032285:Pneumonia]:::PHNEUMONIA [\bphneumonia\b] [C0032285:Pneumonia]:::PNEAMONIA [\bpneamonia\b] [C0032285:Pneumonia]:::PNEMONIA [\bpnemonia\b] [C0032285:Pneumonia]:::PNEOMONIA [\bpneomonia\b] [C0032285:Pneumonia]:::PNEUMMONIA [\bpneummonia\b] [C0032285:Pneumonia]:::PNEUMONIAE [\bpneumoniae\b] [C0032285:Pneumonia]:::PNEUMONIE [\bpneumonie\b] [C0032285:Pneumonia]:::PNUEMONIA [\bpnuemonia\b] [C0032285:Pneumonia]:::PUENMONIA [\bpuenmonia\b] [C0032285:Pneumonia]:::pna [\bpna\b] [C0032285:Pneumonia]:::pne [\bpne\b] [C0032285:Pneumonia]:::pneumonia [\bpneumonia\b] [C0032285:Pneumonia]:::pneumonia [\bpneumonia\b] [C0032285:Pneumonia]:::pneu [\bpneu\b] [C0032285:Pneumonia]:::pneumonia [\bpneumonia\b] [C0032285:Pneumonia]:::pneumonia [\bpneumonia\b] [C0032285:Pneumonia]:::pneumonia-resp distress [\bpneu.*?(\/|-|\s+)+resp.*?\s+distress\b] [C0032285:Pneumonia]:::pneumosepsis [\bpneumosepsis\b] [C0032285:Pneumonia]:::pneuomoia [\bpneuomoia\b] [C0032285:Pneumonia]:::pneumonia [\bpneumonia\b] [C0032285:Pneumonia]:::pna [\bpna\b] [C0032285:Pneumonia]:::pne [\bpne\b] [C0032285:Pneumonia]:::pnemonia [\bpnemonia\b] [C0032285:Pneumonia]:::pneumonia [\bpneumonia\b] [C0032285:Pneumonia]:::cap [\bcap\b] [C0032285:Pneumonia]:::
CCOntology			0	0	0	0	0	1	1	1				1	Pneumonia	Infiltrate	Synonym	C1546677:Infiltrate	0	0	1	0	0			0	1							infiltrate [\binfiltrate\b] [C0235896:PULMONARY INFILTRATE]:::infiltr [\binfiltr.*?\b] [C0235896:PULMONARY INFILTRATE]:::
CCOntology			0	0	0	0	0	1	1					1	Pneumonia	Pneumonitis	Synonym	C0032285:Pneumonitis	1	0	0	0	0			0	0		Pneumonia [C08.381.677]					pneumonitis [\bpneumonitis\b] [C0032285:Pneumonitis]:::pneumonitits [\bpneumonitits\b] [C0032285:Pneumonitis]:::
John Flu Term		ILI	0	0	0	0	0							1	Prostration	Prostration	ConceptName	C0277794	0	0	1	0	1			0	0							"prostration, extreme exhaustion, powerlessness"
John Flu Term		ILI	0	0	0	0	0	1		1				1	Rales	Rales	ConceptName	C0034642	0	0	1	0	1			0	0		Respiratory Sounds [C23.888.852.779]					"rales, crackling, crackles"
SyndromeCC		Respiratory	0	0	0	0	0	1		1				1	Rhinitis	Rhinorrhea	RelatedConcept	C1260880:RHINORRHOEA 	0	0	1	1	0	0	0	0	0							runny nose [\brun.*?\s+nose\b] [C1260880:RHINORRHOEA]:::running nose [\brun.*?\s+nose\b] [C1260880:RHINORRHOEA]:::rhinorrhea [\brhin.*ea\b] [C1260880:RHINORRHOEA]:::
John Flu Term		ILI	0	0	0	0	0							1	Rhinitis	Coryza	RelatedConcept	C0009443	0	0	1	1	1			0	0		Common Cold [C08.730.162]					"coryza, runny nose, rhinorrhea"
John Flu Term		ILI	0	0	0	0	0							1	Rhinitis	NasalObstruction	RelatedConcept	C0027429	0	0	1	1	1			0	0		Nasal Obstruction [C08.618.846.185.525] 					"nasal obstruction, rhinitis, rhinorrhea"
